id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6499,Belém 1 Bedroom Historical Apartment,14455,Bruno,Lisboa,Belm,38.6975,-9.19768,Entire home/apt,35,4,77,2024-09-24,0.61,1,324,14,
25659,Heart of Alfama - Le cœur d'Alfama (3 people),107347,Ellie,Lisboa,Santa Maria Maior,38.71241,-9.12706,Entire home/apt,78,2,215,2024-11-11,1.66,1,323,16,56539/AL.
29396,Alfama Hill - Boutique apartment,126415,Mónica,Lisboa,Santa Maria Maior,38.71156,-9.12987,Entire home/apt,63,2,407,2024-11-16,2.66,1,291,23,28737/AL
29720,TheHOUSE - Your luxury home,128075,Francisco,Lisboa,Estrela,38.71108,-9.15979,Entire home/apt,984,2,140,2024-11-30,0.82,1,268,22,55695/AL
29915,Modern and Spacious Apartment in Lisboa,128890,Sara,Lisboa,Avenidas Novas,38.74606,-9.15358,Entire home/apt,100,6,61,2024-05-20,0.35,1,57,2,85851/AL.
33348,Happy Season,144484,Bruno,Lisboa,Lumiar,38.76427,-9.15301,Private room,40,1,2,2011-07-22,0.01,1,290,0,
42519,Nice Apart.BAIRRO ALTO (ADAMASTOR) 6-1º,136230,David,Lisboa,Misericrdia,38.71062,-9.149,Entire home/apt,60,1,201,2024-11-11,1.25,7,274,17,81551/AL
48025,Apartment for renting  in Lisbon,218778,José,Lisboa,Misericrdia,38.71195,-9.14463,Entire home/apt,95,7,47,2024-11-23,0.29,9,336,14,66950/AL
48854,3BR in historical Sintra chalet,222551,Dagmar,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.8038,-9.3797,Entire home/apt,150,3,49,2024-11-26,0.43,1,11,3,7884/AL
50108,Duplex do Pipas,229376,Pipas,Lisboa,Estrela,38.70388,-9.16546,Entire home/apt,120,2,30,2019-11-05,0.19,2,0,0,
76132,Romantic & Renewed 1 bedroom Apartment @ Campolide,405842,Augusto,Lisboa,Campolide,38.72878,-9.16409,Entire home/apt,49,3,45,2024-06-26,0.58,8,361,10,78247/AL
83700,Cascais view space swimming pool 4 p,456477,Claudio,Cascais,Cascais e Estoril,38.70018,-9.43272,Entire home/apt,55,3,283,2024-11-18,1.70,1,244,37,2729/AL
83933,Charming flat with terrace in Graça,335614,Sebastien,Lisboa,So Vicente,38.72092115283526,-9.128046411596074,Entire home/apt,45,2,305,2024-11-25,1.88,1,153,26,60551/AL
84599,"LV Premier Baixa PR1- Elevator, Balcony, AC, View",181902,Jose Luz,Lisboa,Santa Maria Maior,38.7106,-9.13689,Entire home/apt,213,1,91,2024-07-04,0.60,19,286,3,8954/AL
85105,Quarto com Graça a 5 min metro intendente,462741,Mafalda,Lisboa,Santa Maria Maior,38.71784,-9.13492,Private room,65,3,57,2024-10-15,2.56,1,179,17,
89015,Lisbon Cottage - Principe Real,485573,Justo,Lisboa,Misericrdia,38.71373,-9.1483,Entire home/apt,60,3,103,2024-11-15,0.64,1,351,24,88834/AL
91282,Lovely apartment in Estrela,133304,Maria,Lisboa,Campo de Ourique,38.71879,-9.15853,Entire home/apt,100,7,13,2024-06-30,0.41,1,149,5,5478/AL
95212,BIG 3 BD CHARM&LIGHT #greenstreet,502806,Kathia,Lisboa,Misericrdia,38.70901,-9.15158,Entire home/apt,,3,78,2023-05-29,0.52,1,2,0,
299321,Central Apartment & 360º Terrace,9416641,Sandra & Sofia,Lisboa,Santo Antnio,38.7213,-9.14437,Entire home/apt,80,3,728,2024-12-01,4.66,1,299,49,2156/AL
301264,200yrs apart. - Balcony and WIFI! 2,1552056,Maria Simone,Lisboa,Arroios,38.72199,-9.14002,Entire home/apt,79,2,124,2024-11-09,0.83,7,77,11,36052/AL
301871,Heart of Lisbon: varanda and  A/C,1552056,Maria Simone,Lisboa,Santo Antnio,38.72419,-9.1474,Entire home/apt,89,3,155,2024-11-18,1.00,7,98,23,93932/AL
303692,200yr Duplex Apartment beside garden with lake,1552056,Maria Simone,Lisboa,Arroios,38.72138,-9.13945,Entire home/apt,79,1,191,2024-11-26,1.28,7,145,29,36052/AL
304025,"Apartment ""small and cozy"" - 4th floor",682628,Paulo Eduardo,Lisboa,Misericrdia,38.71308,-9.14514,Entire home/apt,185,365,21,2023-07-22,0.14,5,364,0,
306191,"Bairro Alto Cute Apartment, Central",1574678,Tiago,Lisboa,Misericrdia,38.71454,-9.14522,Entire home/apt,54,3,543,2024-11-27,3.52,1,335,44,61340/AL
307666,Confortable & contemporary - Expo,1582924,Paulo Jorge,Lisboa,Parque das Naes,38.77975,-9.09719,Entire home/apt,126,3,18,2024-08-17,0.13,1,288,1,722/AL
307683,"Alfama,Lisbon--Window of the World",727771,Susana,Lisboa,Santa Maria Maior,38.71143,-9.12778,Entire home/apt,55,4,465,2024-12-10,2.98,7,48,42,84334/AL
311040,até 4 p Alfama - Sé de Lisboa I,1599678,Patrícia,Lisboa,So Vicente,38.71392,-9.12704,Entire home/apt,88,7,54,2024-11-13,0.58,2,343,18,AL 1587
311047,Central - Alfama - Sé de Lisboa II,1599678,Patrícia,Lisboa,So Vicente,38.71426,-9.12844,Entire home/apt,90,3,115,2024-11-23,1.00,2,348,42,AL 1627
322284,LISBON HISTORICAL CITY CENTER APART,1650507,Jp,Lisboa,Santa Maria Maior,38.70989,-9.13637,Entire home/apt,107,3,463,2024-12-07,3.00,1,74,68,46752/AL
324364,Da Silva Surfcamp Areia Branca,1659960,Daniel,Lourinh,Lourinh e Atalaia,39.27423,-9.31898,Entire home/apt,455,1,6,2018-08-24,0.04,35,16,0,8651/AL
327945,Downtown Lisbon - Sunny and central,1675942,Patrícia,Lisboa,Santa Maria Maior,38.70943,-9.13722,Entire home/apt,71,2,628,2024-11-29,4.04,2,32,74,85271/AL
335344,Bairro Alto Vintage Apartment ! (90 m2),1707481,Patrícia,Lisboa,Misericrdia,38.71239,-9.14382,Entire home/apt,84,3,311,2024-12-09,2.06,1,278,59,30159/AL
336832,MyPlaceLisbon - Alfama River View Apartment,701650,MyPlaceLisbon,Lisboa,Santa Maria Maior,38.71248,-9.12961,Entire home/apt,111,2,200,2024-10-16,1.32,11,187,12,7114/AL
344035,Quiet flat in middle Bairro Alto,1730158,Aida,Lisboa,Misericrdia,38.71112,-9.14799,Entire home/apt,127,3,135,2024-11-13,1.25,1,106,25,52334/AL
348764,1 BR apartment in central Lisbon,1767259,Ricardo,Lisboa,Misericrdia,38.71207,-9.15127,Entire home/apt,57,3,333,2024-11-26,2.16,1,20,24,39408/AL
349459,S. Lourenço Street / Lisbon Center,1770472,André,Lisboa,Santa Maria Maior,38.71418,-9.13572,Entire home/apt,65,4,147,2024-11-20,0.95,1,132,14,19/AL
349971,BERNARDIM BEIGE IN CENTRAL LISBON,1466881,Victor,Lisboa,Santo Antnio,38.72659,-9.14522,Entire home/apt,200,3,5,2017-11-01,0.05,7,2,0,AL15252
349974,BERNARDIM BLUE  IN CENTRAL LISBON,1466881,Victor,Lisboa,Santo Antnio,38.72488,-9.14511,Entire home/apt,236,3,12,2024-01-01,0.08,7,340,1,AL15257
349975,BERNARDIM WHITE  IN LISBON,1466881,Victor,Lisboa,Santo Antnio,38.72541,-9.14519,Entire home/apt,134,3,12,2024-09-08,0.15,7,292,2,AL15252
351289,Casa de Pedra - CASAS DA MARIA,1779418,Teresa,Lourinh,Reguengo Grande,39.28958,-9.21641,Entire home/apt,100,5,87,2024-08-28,0.62,1,351,5,64585AL
354431,Casa da Saudade - Praça das Flores,1794425,Clara,Lisboa,Misericrdia,38.71546,-9.15077,Entire home/apt,165,6,207,2024-10-22,1.34,2,148,12,32096/AL
362009,VISIT LISBON,1829625,Ivone,Oeiras,Barcarena,38.73478,-9.28131,Private room,,30,0,,,1,0,0,
362562,Romantic 2 Bedrooms Apartment @ Campolide,405842,Augusto,Lisboa,Campolide,38.72733,-9.1638,Entire home/apt,85,7,44,2023-12-31,0.31,8,252,2,
379156,Apartment in Historic  Building,1039097,Try,Lisboa,Estrela,38.70498,-9.17156,Entire home/apt,65,3,28,2024-08-31,0.19,11,314,2,44076-AL
393700,Royal Prince House!Heart of Lisbon!,1593947,Nuno,Lisboa,Santo Antnio,38.71693,-9.148,Entire home/apt,115,4,49,2023-09-25,0.32,8,346,0,86359/AL
395874,Sunny apartment with a river view,1165468,Nuno,Lisboa,Misericrdia,38.70691,-9.14846,Entire home/apt,62,3,242,2024-11-14,1.58,1,164,27,88259/AL
396204,Fantastic Sea View in Ericeira,1731572,Luis Pedro,Mafra,Ericeira,38.98615,-9.41622,Entire home/apt,150,90,64,2020-10-15,0.46,1,106,0,
403760,Alfama 1 | Terrace Lisboa Vida Boa,1654712,Susanna,Lisboa,So Vicente,38.71337,-9.12548,Entire home/apt,89,3,206,2024-12-09,1.34,3,359,17,4498/AL
405876,Cascais Central Charming Duplex,2023076,Pedro,Cascais,Cascais e Estoril,38.69641,-9.42494,Entire home/apt,100,3,243,2024-11-18,1.64,3,213,36,
407623,Watch from your bed the river Tejo,2030219,Marta,Lisboa,So Vicente,38.71732,-9.13098,Entire home/apt,90,3,47,2023-08-17,0.30,1,231,0,
416929,A room at the República das bananas,2073678,Augusto,Lisboa,Arroios,38.73248,-9.13251,Private room,25,1,757,2024-12-08,5.03,2,337,95,62988/AL
417448,Cute and Cosy apartment in LISBON,2075804,Josie Georgia,Lisboa,Santo Antnio,38.71956,-9.14255,Entire home/apt,91,3,191,2024-11-04,1.25,1,225,35,56942/AL.
418945,Nice view over Tagus River @ Lisboa,2083563,Manuel,Lisboa,Belm,38.71156,-9.21046,Private room,820,1,2,2016-07-10,0.02,3,365,0,
424664,Lavanda House Swimming pool Garden,815805,Catarina,Cadaval,Cadaval e Pro Moniz,39.23805,-9.12181,Entire home/apt,95,3,135,2024-12-01,0.90,3,283,27,41833/AL
427653,Loft - Downtown / Castle - historic,2125391,Nuno,Lisboa,Santa Maria Maior,38.711,-9.13439,Entire home/apt,57,3,163,2024-10-27,1.09,2,174,5,7679/AL
428784,Great apartment in the Old Town Ii,914126,Martin,Lisboa,Santa Maria Maior,38.71155,-9.13645,Entire home/apt,215,1,141,2024-11-12,1.03,15,233,19,114240/AL
